epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,137.268,2.76096,2.97205,3.89896,0.00333,1,0.0695,0.02437,1.9443,3.52185,4.09363,0.000836507,0.000836507,0.000836507
44,140.535,2.36395,2.86614,3.97688,0.00333,1,0.0695,0.02437,1.9443,3.52185,4.09363,0.000856339,0.000856339,0.000856339
45,143.986,2.97798,2.87893,3.97817,0.00333,1,0.08583,0.02807,1.9433,3.50672,4.08323,0.000876167,0.000876167,0.000876167
46,147.078,3.09545,2.80723,4.05993,0.00333,1,0.08583,0.02807,1.9433,3.50672,4.08323,0.00089599,0.00089599,0.00089599
47,150.02,3.26604,2.84811,3.98174,0.00333,1,0.10293,0.03269,1.94467,3.48453,4.06235,0.00091581,0.00091581,0.00091581
48,152.927,2.26872,2.85984,3.83769,0.00333,1,0.10293,0.03269,1.94467,3.48453,4.06235,0.000935626,0.000935626,0.000935626
49,155.785,2.70238,2.63286,4.01645,0.00333,1,0.22962,0.07626,1.9619,3.51213,4.026,0.000955438,0.000955438,0.000955438
50,158.638,2.85638,2.75093,3.97527,0.00333,1,0.22962,0.07626,1.9619,3.51213,4.026,0.000975246,0.000975246,0.000975246
51,162.594,2.56032,2.41465,3.81253,0.00333,1,0.33167,0.11673,2.00099,3.57355,3.99839,0.00099505,0.00099505,0.00099505
52,165.484,2.61678,2.82813,3.76036,0.00333,1,0.33167,0.11673,2.00099,3.57355,3.99839,0.00101485,0.00101485,0.00101485
53,168.513,2.5573,2.94041,3.80262,0.00333,1,0.33167,0.11673,2.00099,3.57355,3.99839,0.00103465,0.00103465,0.00103465
54,171.476,2.42845,2.82605,3.64312,0.00333,1,0.4975,0.12976,2.05261,3.53137,3.97646,0.00105444,0.00105444,0.00105444
55,174.724,2.53996,2.68866,3.90692,0.00333,1,0.4975,0.12976,2.05261,3.53137,3.97646,0.00107423,0.00107423,0.00107423
56,178.149,3.03822,2.95872,3.79451,0.00333,1,0.4975,0.12976,2.05261,3.53137,3.97646,0.00109401,0.00109401,0.00109401
57,183.397,2.62744,2.5693,3.78279,0.00333,1,0.4975,0.12961,2.12658,3.50378,3.95863,0.00111379,0.00111379,0.00111379
58,188.912,3.21688,2.65318,3.85253,0.00333,1,0.4975,0.12961,2.12658,3.50378,3.95863,0.00113357,0.00113357,0.00113357
59,192.397,3.04378,2.7062,3.87692,0.00333,1,0.4975,0.12961,2.12658,3.50378,3.95863,0.00115334,0.00115334,0.00115334
60,195.302,2.80697,2.72934,3.9135,0.00333,1,0.995,0.3096,2.26934,3.94821,3.94019,0.00117311,0.00117311,0.00117311
61,198.128,2.77367,2.59292,3.69214,0.00333,1,0.995,0.3096,2.26934,3.94821,3.94019,0.00119287,0.00119287,0.00119287
62,200.794,2.26338,2.47929,3.56675,0.00333,1,0.995,0.3096,2.26934,3.94821,3.94019,0.00121263,0.00121263,0.00121263
63,203.437,2.47817,2.50018,3.63789,0.01563,1,0.863,0.21443,2.44235,4.51627,3.76063,0.00123239,0.00123239,0.00123239
64,205.989,3.09103,3.18291,3.85868,0.01563,1,0.863,0.21443,2.44235,4.51627,3.76063,0.00125214,0.00125214,0.00125214
65,208.831,2.23654,2.52564,3.4462,0.01563,1,0.863,0.21443,2.44235,4.51627,3.76063,0.00127189,0.00127189,0.00127189
66,211.829,2.64616,2.56485,3.8567,0.01689,1,0.9125,0.16578,2.59853,4.72899,3.81052,0.00129163,0.00129163,0.00129163
67,215.115,2.88527,2.25431,3.75958,0.01689,1,0.9125,0.16578,2.59853,4.72899,3.81052,0.00131138,0.00131138,0.00131138
68,218.691,2.70411,3.27634,3.724,0.01689,1,0.9125,0.16578,2.59853,4.72899,3.81052,0.00133111,0.00133111,0.00133111
69,222.425,2.39064,2.57462,3.53299,0.0201,1,0.415,0.09277,2.56405,6.11469,3.85334,0.00135084,0.00135084,0.00135084
70,226.173,2.67198,3.03472,3.77956,0.0201,1,0.415,0.09277,2.56405,6.11469,3.85334,0.00137057,0.00137057,0.00137057
71,229.422,2.4197,2.68287,3.79135,0.0201,1,0.415,0.09277,2.56405,6.11469,3.85334,0.0013903,0.0013903,0.0013903
72,232.785,2.83516,2.56449,3.73349,0.02393,1,0.515,0.10159,2.50683,10.0398,3.71644,0.00141002,0.00141002,0.00141002
73,235.785,2.63381,2.41114,3.59264,0.02393,1,0.515,0.10159,2.50683,10.0398,3.71644,0.00142974,0.00142974,0.00142974
74,238.479,2.70014,2.54788,3.64084,0.02393,1,0.515,0.10159,2.50683,10.0398,3.71644,0.00144945,0.00144945,0.00144945
75,241.411,2.84318,2.37276,3.57661,0.02261,1,0.51929,0.11126,2.47145,59.3054,4.15462,0.00146916,0.00146916,0.00146916
76,244.59,2.72668,2.64564,3.71086,0.02261,1,0.51929,0.11126,2.47145,59.3054,4.15462,0.00148886,0.00148886,0.00148886
77,247.517,2.81511,2.75419,3.70194,0.02261,1,0.51929,0.11126,2.47145,59.3054,4.15462,0.00150856,0.00150856,0.00150856
